,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"omega[2, 61]",0.29,0.154,0.11,0.58,961,780,1.00,0.0051,0.004
"omega[2, 62]",0.25,0.18,0.041,0.6,973,905,1.00,0.0062,0.005
"omega[2, 63]",0.56,0.228,0.18,0.9,2278,879,1.00,0.0045,0.0024
"omega[2, 64]",0.63,0.225,0.23,0.93,1367,731,1.00,0.0064,0.0034
"omega[2, 65]",0.127,0.062,0.045,0.23,1564,651,1.00,0.0015,0.0016
"omega[2, 66]",0.48,0.231,0.1,0.82,1208,529,1.00,0.0068,0.0035
"omega[2, 67]",0.52,0.222,0.14,0.86,1899,803,1.00,0.0053,0.003
"omega[2, 68]",0.873,0.088,0.69,0.98,2013,767,1.00,0.0021,0.0019
"omega[2, 69]",0.043,0.032,0.0088,0.1,1501,706,1.01,0.00084,0.0011
"omega[2, 70]",0.594,0.209,0.24,0.9,2177,725,1.00,0.0045,0.0027
"omega[2, 71]",0.18,0.15,0.032,0.49,1227,886,1.00,0.0051,0.0052
"omega[2, 72]",0.32,0.213,0.05,0.74,1107,864,1.00,0.0064,0.0041
"omega[2, 73]",0.678,0.164,0.39,0.91,2029,771,1.01,0.0036,0.0025
"omega[2, 74]",0.35,0.219,0.061,0.73,911,738,1.00,0.007,0.0039
"omega[2, 75]",0.38,0.19,0.079,0.68,980,509,1.00,0.0059,0.0032
"omega[2, 76]",0.197,0.115,0.052,0.41,1518,763,1.00,0.003,0.0026
"omega[2, 77]",0.487,0.185,0.2,0.78,1529,637,1.00,0.0046,0.0026
"omega[2, 78]",0.35,0.205,0.097,0.72,969,762,1.00,0.0068,0.0043
"omega[2, 79]",0.72,0.17,0.4,0.94,1673,784,1.00,0.0045,0.0034
"omega[2, 80]",0.55,0.234,0.16,0.89,1812,716,1.01,0.0056,0.0029
"omega[2, 81]",0.15,0.094,0.032,0.32,1424,716,1.00,0.0025,0.0018
"omega[2, 82]",0.38,0.238,0.085,0.82,1055,970,1.00,0.0074,0.0041
"omega[2, 83]",0.674,0.136,0.44,0.88,1721,729,1.01,0.0033,0.0023
"omega[2, 84]",0.265,0.155,0.066,0.56,1109,737,1.00,0.0046,0.0035
"omega[2, 85]",0.192,0.121,0.036,0.42,1432,728,1.00,0.0029,0.0021
"omega[2, 86]",0.106,0.095,0.018,0.3,1284,907,1.01,0.0032,0.0046
"omega[2, 87]",0.771,0.131,0.55,0.94,1921,846,1.00,0.0033,0.0033
"omega[2, 88]",0.502,0.207,0.15,0.84,2343,778,1.00,0.0043,0.0026
"omega[2, 89]",0.642,0.192,0.3,0.91,2102,739,1.01,0.0045,0.0032
"omega[2, 90]",0.318,0.14,0.14,0.57,1208,609,1.00,0.0045,0.0041
"omega[2, 91]",0.447,0.119,0.28,0.63,848,514,1.00,0.0045,0.0041
"omega[2, 92]",0.29,0.194,0.05,0.67,1594,583,1.00,0.0054,0.0042
"omega[2, 93]",0.46,0.093,0.33,0.63,1583,758,1.00,0.0024,0.0017
"omega[2, 94]",0.136,0.111,0.025,0.35,1197,702,1.00,0.0037,0.0048
"omega[2, 95]",0.084,0.047,0.023,0.17,1448,605,1.00,0.0012,0.001
"omega[2, 96]",0.097,0.088,0.016,0.28,1125,862,1.00,0.0028,0.0035
"omega[2, 97]",0.528,0.153,0.24,0.77,1524,573,1.00,0.0041,0.0029
"omega[2, 98]",0.144,0.065,0.059,0.26,1086,626,1.00,0.0019,0.0017
"omega[2, 99]",0.28,0.201,0.036,0.65,911,609,1.01,0.0065,0.0042
"omega[2, 100]",0.8,0.17,0.49,0.96,621,290,1.02,0.012,0.017
"omega[2, 101]",0.144,0.122,0.025,0.4,1061,812,1.00,0.0041,0.0048
"omega[2, 102]",0.26,0.207,0.025,0.65,788,750,1.00,0.007,0.0045
"omega[2, 103]",0.091,0.056,0.019,0.2,1148,542,1.00,0.0014,0.0011
"omega[2, 104]",0.699,0.185,0.38,0.94,1674,729,1.00,0.0045,0.0026
"omega[2, 105]",0.498,0.114,0.32,0.68,1477,802,1.00,0.003,0.002
"omega[2, 106]",0.43,0.2,0.14,0.79,825,616,1.00,0.0071,0.0044
"omega[2, 107]",0.306,0.129,0.098,0.51,1114,783,1.00,0.0038,0.0023
"omega[2, 108]",0.719,0.132,0.5,0.91,1534,501,1.00,0.0032,0.0026
"omega[2, 109]",0.413,0.161,0.16,0.68,1507,779,1.01,0.0041,0.0028
"omega[2, 110]",0.11,0.064,0.028,0.23,992,653,1.00,0.0019,0.0017
"omega[2, 111]",0.181,0.125,0.021,0.4,832,784,1.00,0.0043,0.0024
"omega[2, 112]",0.105,0.1,0.016,0.31,970,592,1.00,0.0032,0.0042
"omega[2, 113]",0.189,0.089,0.074,0.35,1569,817,1.00,0.0022,0.0024
"omega[2, 114]",0.162,0.069,0.064,0.28,1338,459,1.00,0.0018,0.0015
"omega[2, 115]",0.746,0.144,0.48,0.93,1884,582,1.00,0.0034,0.0031
"omega[2, 116]",0.172,0.123,0.02,0.4,810,725,1.00,0.0042,0.0034
"omega[2, 117]",0.62,0.28,0.038,0.91,187,202,1.01,0.023,0.016
"omega[2, 118]",0.554,0.18,0.25,0.84,1847,571,1.00,0.0042,0.0026
"omega[2, 119]",0.27,0.146,0.069,0.53,1738,745,1.00,0.0035,0.0023
"omega[2, 120]",0.709,0.149,0.45,0.91,1973,958,1.00,0.0034,0.0021
"omega[2, 121]",0.35,0.23,0.065,0.8,706,517,1.00,0.0085,0.0061
"omega[2, 122]",0.713,0.16,0.43,0.93,1801,675,1.01,0.0037,0.0025
"omega[2, 123]",0.783,0.095,0.63,0.92,1830,591,1.00,0.0023,0.002
"omega[2, 124]",0.492,0.099,0.34,0.64,1926,724,1.00,0.0023,0.0017
"omega[2, 125]",0.48,0.29,0.11,0.93,452,787,1.00,0.016,0.0059
"omega[2, 126]",0.375,0.142,0.16,0.6,1671,576,1.00,0.0034,0.0021
"omega[2, 127]",0.63,0.26,0.13,0.94,866,709,1.00,0.0096,0.0056
"omega[2, 128]",0.274,0.134,0.11,0.53,983,726,1.00,0.0044,0.0039
"omega[2, 129]",0.242,0.105,0.086,0.43,1331,680,1.00,0.0029,0.0023
"omega[2, 130]",0.561,0.166,0.29,0.81,2304,816,1.00,0.0035,0.0023
"omega[2, 131]",0.318,0.112,0.15,0.51,2851,843,1.00,0.0021,0.0016
"omega[2, 132]",0.107,0.07,0.021,0.23,1329,731,1.00,0.002,0.002
"omega[2, 133]",0.561,0.216,0.21,0.88,2518,696,1.00,0.0045,0.0024
"omega[2, 134]",0.28,0.23,0.034,0.73,1105,732,1.00,0.0074,0.0054
"omega[2, 135]",0.747,0.14,0.49,0.93,1465,708,1.00,0.0035,0.0029
"omega[2, 136]",0.57,0.198,0.23,0.88,1621,660,1.00,0.005,0.003
"omega[2, 137]",0.395,0.163,0.15,0.66,1822,792,1.00,0.0038,0.0023
"omega[2, 138]",0.58,0.233,0.17,0.92,1596,653,1.00,0.0062,0.0034
"omega[2, 139]",0.288,0.084,0.17,0.44,1576,795,1.00,0.0024,0.0027
"omega[2, 140]",0.554,0.212,0.2,0.88,1811,697,1.00,0.0049,0.0027
"omega[2, 141]",0.563,0.185,0.24,0.83,2018,762,1.00,0.0041,0.0023
"omega[2, 142]",0.271,0.145,0.086,0.53,1075,770,1.00,0.0046,0.0042
"omega[2, 143]",0.064,0.041,0.016,0.14,1605,796,1.00,0.0011,0.0012
"omega[2, 144]",0.41,0.167,0.2,0.73,1223,780,1.00,0.005,0.0036
"omega[2, 145]",0.43,0.273,0.066,0.87,1198,683,1.00,0.0082,0.0036
"omega[2, 146]",0.2,0.104,0.065,0.39,1704,790,1.00,0.0024,0.002
"omega[2, 147]",0.37,0.191,0.097,0.7,1456,591,1.01,0.0052,0.0032
"omega[2, 148]",0.45,0.228,0.086,0.78,865,829,1.00,0.0078,0.0036
"omega[2, 149]",0.372,0.097,0.24,0.54,1817,690,1.00,0.0024,0.0021
"omega[2, 150]",0.728,0.149,0.47,0.93,1676,695,1.00,0.0036,0.0031
"omega[2, 151]",0.71,0.19,0.33,0.94,2220,396,1.00,0.005,0.0039
"omega[2, 152]",0.314,0.139,0.11,0.55,1710,934,1.00,0.0033,0.002
"omega[2, 153]",0.43,0.175,0.2,0.78,975,527,1.00,0.0062,0.0048
"omega[2, 154]",0.206,0.115,0.064,0.41,1100,787,1.00,0.0035,0.0033
"omega[2, 155]",0.353,0.156,0.12,0.62,1482,664,1.01,0.004,0.0025
"omega[2, 156]",0.104,0.093,0.015,0.28,1205,824,1.00,0.003,0.0042
"omega[2, 157]",0.265,0.075,0.16,0.4,1795,657,1.00,0.0019,0.0015
"omega[2, 158]",0.64,0.229,0.29,0.96,721,815,1.00,0.0091,0.004
"omega[2, 159]",0.179,0.111,0.047,0.37,1071,558,1.00,0.0034,0.0037
"omega[2, 160]",0.245,0.146,0.054,0.5,1182,700,1.00,0.004,0.0027
"omega[2, 161]",0.106,0.07,0.022,0.24,1952,673,1.00,0.0017,0.0016
"omega[2, 162]",0.472,0.093,0.32,0.62,1837,886,1.00,0.0022,0.0015
"omega[2, 163]",0.104,0.09,0.017,0.26,1157,550,1.01,0.003,0.0049
"omega[2, 164]",0.49,0.215,0.17,0.85,1690,863,1.01,0.0053,0.0028
"omega[2, 165]",0.136,0.079,0.039,0.27,1158,708,1.00,0.0023,0.0027
"omega[2, 166]",0.247,0.105,0.094,0.42,1660,756,1.00,0.0026,0.0016
"omega[2, 167]",0.24,0.19,0.053,0.65,730,617,1.00,0.0079,0.0069
"omega[2, 168]",0.42,0.256,0.058,0.85,826,642,1.00,0.0086,0.0041
"omega[2, 169]",0.275,0.097,0.14,0.44,1618,750,1.00,0.0024,0.0019
"omega[2, 170]",0.231,0.137,0.048,0.49,1491,837,1.00,0.0034,0.0023
"omega[2, 171]",0.39,0.198,0.13,0.74,1210,797,1.00,0.0061,0.0039
"omega[2, 172]",0.602,0.195,0.26,0.89,1902,663,1.00,0.0046,0.0029
"omega[2, 173]",0.082,0.067,0.017,0.18,2008,899,1.00,0.0018,0.0044
"omega[2, 174]",0.33,0.191,0.071,0.66,979,665,1.00,0.0063,0.0042
"omega[2, 175]",0.414,0.172,0.14,0.69,1477,613,1.01,0.0044,0.0027
"omega[2, 176]",0.079,0.043,0.02,0.15,1298,588,1.01,0.0011,0.001
"omega[2, 177]",0.367,0.186,0.094,0.68,1457,647,1.00,0.0047,0.0026
"omega[2, 178]",0.27,0.205,0.037,0.66,1133,700,1.00,0.0062,0.0042
"omega[2, 179]",0.43,0.202,0.1,0.74,933,662,1.00,0.0066,0.0037
"omega[2, 180]",0.25,0.172,0.048,0.58,1161,821,1.00,0.0052,0.0044
"omega[2, 181]",0.44,0.233,0.11,0.82,1004,748,1.00,0.0071,0.0036
"omega[2, 182]",0.513,0.179,0.21,0.78,1847,704,1.00,0.0043,0.0026
"omega[2, 183]",0.18,0.21,0.021,0.73,576,515,1.00,0.01,0.012
"omega[2, 184]",0.211,0.099,0.084,0.39,1307,745,1.00,0.0031,0.0035
"omega[2, 185]",0.057,0.033,0.014,0.11,1528,684,1.01,0.00081,0.00074
"omega[2, 186]",0.174,0.112,0.051,0.4,1313,755,1.00,0.0031,0.0037
"omega[2, 187]",0.161,0.094,0.039,0.34,1687,815,1.00,0.0022,0.0017
"omega[2, 188]",0.688,0.174,0.35,0.91,1656,700,1.00,0.0047,0.0036
"omega[2, 189]",0.28,0.188,0.066,0.67,898,808,1.00,0.0062,0.0049
"omega[2, 190]",0.67,0.205,0.27,0.93,1393,593,1.00,0.0061,0.0044
"omega[2, 191]",0.45,0.153,0.16,0.67,1067,448,1.00,0.0051,0.0035
"omega[2, 192]",0.346,0.161,0.11,0.62,1309,609,1.00,0.0042,0.0029
"omega[2, 193]",0.232,0.111,0.096,0.44,882,560,1.00,0.0039,0.0037
"omega[2, 194]",0.109,0.097,0.015,0.3,1366,731,1.00,0.0031,0.0037
"omega[2, 195]",0.193,0.125,0.056,0.43,1054,588,1.00,0.0042,0.0049
"omega[2, 196]",0.79,0.15,0.53,0.95,944,630,1.00,0.0063,0.0078
"omega[2, 197]",0.56,0.216,0.19,0.89,1262,856,1.00,0.0062,0.0034
"omega[2, 198]",0.498,0.203,0.18,0.82,1801,765,1.00,0.0048,0.0027
"omega[2, 199]",0.127,0.09,0.03,0.3,1416,762,1.00,0.0024,0.0024
"omega[2, 200]",0.21,0.19,0.032,0.58,953,819,1.00,0.0063,0.0057
"omega[2, 201]",0.26,0.201,0.038,0.66,1341,649,1.00,0.0059,0.0044
"omega[2, 202]",0.61,0.23,0.18,0.92,1436,735,1.00,0.0061,0.0036
"omega[2, 203]",0.225,0.104,0.082,0.41,1417,749,1.00,0.0027,0.0022
"omega[2, 204]",0.088,0.063,0.018,0.2,1173,583,1.01,0.0019,0.0029
"omega[2, 205]",0.166,0.14,0.029,0.46,1126,720,1.00,0.0046,0.0052
"omega[2, 206]",0.662,0.102,0.49,0.82,3000,690,1.00,0.0019,0.0012
"omega[2, 207]",0.163,0.13,0.031,0.42,1062,662,1.00,0.0045,0.0059
"omega[2, 208]",0.125,0.11,0.022,0.33,1069,658,1.00,0.0039,0.0061
"omega[2, 209]",0.549,0.211,0.21,0.87,1806,631,1.00,0.0049,0.0028
"omega[2, 210]",0.16,0.14,0.029,0.46,833,535,1.00,0.0058,0.0073
"omega[2, 211]",0.171,0.108,0.047,0.38,1199,711,1.00,0.0031,0.004
"omega[2, 212]",0.49,0.225,0.13,0.84,1755,802,1.01,0.0053,0.0028
"omega[2, 213]",0.54,0.16,0.17,0.74,754,351,1.00,0.0078,0.0071
"omega[2, 214]",0.467,0.157,0.2,0.7,1633,784,1.00,0.0039,0.0025
"omega[2, 215]",0.38,0.225,0.077,0.77,1387,796,1.00,0.0059,0.0031
"omega[2, 216]",0.088,0.09,0.015,0.21,856,559,1.00,0.0049,0.012
"omega[2, 217]",0.29,0.179,0.057,0.62,1881,1006,1.00,0.0042,0.0026
"omega[2, 218]",0.37,0.235,0.067,0.78,1033,886,1.00,0.0079,0.0041
"omega[2, 219]",0.157,0.073,0.058,0.28,1313,750,1.00,0.0018,0.0017
"omega[2, 220]",0.355,0.17,0.13,0.66,1676,804,1.00,0.0043,0.0029
"omega[2, 221]",0.146,0.083,0.035,0.29,1210,539,1.00,0.002,0.0015
"omega[2, 222]",0.217,0.119,0.067,0.43,1180,858,1.00,0.0036,0.0034
"omega[2, 223]",0.37,0.154,0.14,0.64,1576,734,1.00,0.0039,0.0025
"omega[2, 224]",0.372,0.175,0.12,0.67,1606,672,1.01,0.0046,0.0033
"omega[2, 225]",0.303,0.153,0.093,0.58,1355,863,1.00,0.0043,0.0031
"omega[2, 226]",0.325,0.116,0.15,0.52,1957,791,1.00,0.0026,0.0017
"omega[2, 227]",0.274,0.146,0.074,0.53,2340,771,1.00,0.003,0.0021
"omega[2, 228]",0.332,0.181,0.078,0.65,1520,887,1.00,0.0048,0.0031
"omega[2, 229]",0.088,0.041,0.029,0.16,1488,653,1.00,0.001,0.00077
"omega[2, 230]",0.918,0.057,0.82,0.98,1570,730,1.00,0.0015,0.0018
"omega[2, 231]",0.165,0.1,0.049,0.33,993,685,1.00,0.0036,0.0069
"omega[2, 232]",0.37,0.259,0.051,0.8,915,860,1.00,0.0087,0.0038
"omega[2, 233]",0.282,0.101,0.15,0.45,2148,786,1.00,0.0021,0.0022
"omega[2, 234]",0.109,0.065,0.028,0.23,1301,735,1.00,0.0019,0.002
"omega[2, 235]",0.448,0.164,0.17,0.7,1467,613,1.00,0.0043,0.0029
"omega[2, 236]",0.31,0.167,0.071,0.61,1948,657,1.00,0.0036,0.0023
"omega[2, 237]",0.092,0.051,0.023,0.18,1641,555,1.00,0.0011,0.00088
"omega[2, 238]",0.319,0.162,0.09,0.6,1260,663,1.00,0.0045,0.003
"omega[2, 239]",0.69,0.208,0.29,0.94,1498,665,1.00,0.0061,0.0048
"omega[2, 240]",0.086,0.065,0.015,0.21,1354,546,1.00,0.002,0.0029
"omega[2, 241]",0.206,0.053,0.13,0.29,3000,838,1.01,0.0011,0.00093
"omega[2, 242]",0.35,0.175,0.12,0.68,1448,749,1.00,0.005,0.0038
"omega[2, 243]",0.54,0.162,0.3,0.81,1659,703,1.00,0.004,0.0023
"omega[3, 0]",0.41,0.165,0.17,0.69,1058,707,1.00,0.0053,0.0039
"omega[3, 1]",0.49,0.208,0.14,0.8,1755,792,1.01,0.005,0.0028
"omega[3, 2]",0.47,0.212,0.14,0.81,1239,801,1.00,0.0061,0.0033
"omega[3, 3]",0.264,0.102,0.13,0.44,1147,810,1.00,0.0028,0.0027
"omega[3, 4]",0.276,0.132,0.12,0.53,1865,848,1.00,0.0035,0.0035
"omega[3, 5]",0.249,0.133,0.056,0.47,1099,742,1.00,0.0039,0.0024
"omega[3, 6]",0.321,0.079,0.21,0.46,1296,502,1.01,0.0023,0.002
"omega[3, 7]",0.54,0.247,0.14,0.9,1882,741,1.00,0.0057,0.0028
"omega[3, 8]",0.398,0.076,0.28,0.52,2182,749,1.00,0.0016,0.0012
"omega[3, 9]",0.109,0.082,0.02,0.26,865,646,1.00,0.0029,0.0039
"omega[3, 10]",0.67,0.197,0.31,0.93,1762,586,1.00,0.0054,0.004
"omega[3, 11]",0.3,0.085,0.19,0.45,1425,816,1.00,0.0023,0.0023
"omega[3, 12]",0.29,0.12,0.16,0.49,550,294,1.01,0.0076,0.012
"omega[3, 13]",0.545,0.169,0.28,0.82,2065,814,1.00,0.0037,0.0022
"omega[3, 14]",0.767,0.147,0.49,0.95,1610,732,1.00,0.0039,0.0029
"omega[3, 15]",0.262,0.079,0.15,0.4,2025,761,1.00,0.0019,0.002
"omega[3, 16]",0.33,0.156,0.087,0.58,890,642,1.01,0.0051,0.0033
"omega[3, 17]",0.444,0.163,0.18,0.71,1078,694,1.00,0.0049,0.0031
"omega[3, 18]",0.152,0.104,0.03,0.34,1921,707,1.00,0.0027,0.0031
"omega[3, 19]",0.314,0.164,0.092,0.61,1431,647,1.00,0.0043,0.0033
"omega[3, 20]",0.409,0.153,0.17,0.66,1568,539,1.01,0.0037,0.0024
"omega[3, 21]",0.236,0.067,0.13,0.35,2051,683,1.00,0.0015,0.0012
"omega[3, 22]",0.8,0.163,0.47,0.98,817,718,1.00,0.0062,0.0048
"omega[3, 23]",0.54,0.215,0.19,0.87,1071,769,1.00,0.0067,0.0036
"omega[3, 24]",0.253,0.153,0.052,0.53,1439,805,1.00,0.0038,0.0028
"omega[3, 25]",0.28,0.197,0.054,0.67,1005,946,1.00,0.0062,0.0047
"omega[3, 26]",0.65,0.179,0.33,0.9,1358,587,1.01,0.0056,0.0044
"omega[3, 27]",0.303,0.188,0.057,0.64,1860,698,1.00,0.0048,0.0035
"omega[3, 28]",0.678,0.119,0.46,0.84,1661,756,1.01,0.003,0.0024
"omega[3, 29]",0.452,0.22,0.09,0.81,2641,852,1.00,0.0043,0.0024
"omega[3, 30]",0.306,0.073,0.2,0.43,1994,671,1.00,0.0018,0.0013
"omega[3, 31]",0.64,0.191,0.28,0.89,1509,693,1.00,0.0055,0.0038
"omega[3, 32]",0.46,0.187,0.16,0.76,891,678,1.00,0.0062,0.0038
"omega[3, 33]",0.186,0.124,0.049,0.43,1589,807,1.00,0.0037,0.0043
"omega[3, 34]",0.133,0.079,0.037,0.29,1263,725,1.00,0.0022,0.0019
"omega[3, 35]",0.283,0.091,0.14,0.43,1137,852,1.00,0.0027,0.002
"omega[3, 36]",0.419,0.081,0.3,0.56,1979,787,1.01,0.0018,0.0014
"omega[3, 37]",0.49,0.188,0.21,0.83,1272,660,1.00,0.0054,0.0033
"omega[3, 38]",0.548,0.118,0.37,0.73,944,535,1.00,0.0046,0.0045
"omega[3, 39]",0.63,0.226,0.22,0.93,1397,660,1.00,0.0062,0.0036
"omega[3, 40]",0.328,0.129,0.14,0.55,1592,702,1.00,0.0033,0.0025
"omega[3, 41]",0.33,0.225,0.048,0.74,1303,839,1.00,0.0063,0.0037
"omega[3, 42]",0.36,0.188,0.086,0.7,1580,792,1.00,0.0045,0.0029
"omega[3, 43]",0.428,0.16,0.2,0.7,1489,803,1.00,0.0041,0.0025
"omega[3, 44]",0.776,0.16,0.45,0.96,1970,694,1.00,0.004,0.0033
"omega[3, 45]",0.543,0.186,0.24,0.85,1831,623,1.00,0.0043,0.0025
"omega[3, 46]",0.214,0.122,0.068,0.45,1762,776,1.00,0.003,0.0027
"omega[3, 47]",0.222,0.1,0.1,0.4,1064,698,1.01,0.0039,0.0054
"omega[3, 48]",0.19,0.124,0.034,0.41,1159,680,1.00,0.0037,0.003
"omega[3, 49]",0.32,0.173,0.079,0.63,1944,709,1.00,0.004,0.0027
"omega[3, 50]",0.77,0.15,0.51,0.95,1342,662,1.00,0.0051,0.0055
"omega[3, 51]",0.221,0.112,0.054,0.4,1197,805,1.00,0.0031,0.0022
"omega[3, 52]",0.34,0.226,0.055,0.77,1623,853,1.00,0.0057,0.0035
"omega[3, 53]",0.45,0.174,0.21,0.75,882,839,1.00,0.006,0.0036
"omega[3, 54]",0.36,0.127,0.18,0.58,2088,954,1.00,0.0029,0.0021
"omega[3, 55]",0.56,0.23,0.17,0.9,1838,588,1.00,0.0057,0.003
"omega[3, 56]",0.57,0.214,0.21,0.9,1916,396,1.00,0.0051,0.003
"omega[3, 57]",0.55,0.29,0.093,0.94,734,514,1.01,0.011,0.0045
"omega[3, 58]",0.411,0.158,0.17,0.68,1290,794,1.00,0.0043,0.0029
"omega[3, 59]",0.891,0.072,0.75,0.98,1330,732,1.00,0.0017,0.0014
"omega[3, 60]",0.356,0.089,0.22,0.51,2340,819,1.00,0.002,0.0015
"omega[3, 61]",0.741,0.136,0.49,0.92,1377,742,1.00,0.0035,0.0029
"omega[3, 62]",0.31,0.16,0.12,0.65,742,354,1.00,0.0075,0.0069
"omega[3, 63]",0.47,0.251,0.1,0.87,1250,780,1.01,0.0069,0.0032
"omega[3, 64]",0.45,0.238,0.11,0.85,1800,846,1.00,0.0054,0.0027
"omega[3, 65]",0.589,0.082,0.46,0.72,3000,730,1.00,0.0015,0.0011
"omega[3, 66]",0.46,0.242,0.11,0.88,1575,723,1.00,0.0064,0.0033
"omega[3, 67]",0.204,0.101,0.06,0.37,1364,638,1.00,0.0026,0.0018
"omega[3, 68]",0.654,0.134,0.41,0.83,2147,698,1.00,0.0037,0.0036
"omega[3, 69]",0.226,0.044,0.16,0.3,2091,470,1.00,0.00095,0.00075
"omega[3, 70]",0.587,0.199,0.24,0.88,2554,503,1.00,0.0042,0.0027
"omega[3, 71]",0.317,0.147,0.15,0.62,1293,928,1.00,0.0046,0.0043
"omega[3, 72]",0.27,0.14,0.12,0.54,975,600,1.00,0.0051,0.0058
"omega[3, 73]",0.54,0.227,0.16,0.87,2030,657,1.00,0.0052,0.0028
"omega[3, 74]",0.39,0.23,0.084,0.8,1379,776,1.00,0.0062,0.0036
"omega[3, 75]",0.395,0.164,0.18,0.68,1203,980,1.00,0.0045,0.0028
"omega[3, 76]",0.3,0.13,0.14,0.54,794,524,1.00,0.0057,0.0071
"omega[3, 77]",0.52,0.221,0.15,0.86,2811,707,1.00,0.0044,0.0025
"omega[3, 78]",0.4,0.19,0.17,0.78,786,556,1.01,0.0074,0.0055
"omega[3, 79]",0.52,0.192,0.23,0.84,953,673,1.00,0.0061,0.0035
"omega[3, 80]",0.56,0.153,0.37,0.87,885,473,1.00,0.0059,0.004
"omega[3, 81]",0.227,0.131,0.055,0.47,1296,764,1.00,0.0037,0.0028
"omega[3, 82]",0.34,0.17,0.14,0.71,1029,608,1.00,0.0061,0.0054
"omega[3, 83]",0.395,0.138,0.18,0.62,1189,931,1.00,0.004,0.0025
"omega[3, 84]",0.178,0.096,0.051,0.35,2228,794,1.00,0.0019,0.0015
"omega[3, 85]",0.259,0.153,0.062,0.55,1793,759,1.00,0.0038,0.0028
"omega[3, 86]",0.45,0.219,0.13,0.8,723,718,1.00,0.0081,0.0042
"omega[3, 87]",0.772,0.169,0.44,0.96,1649,828,1.01,0.0047,0.0039
"omega[3, 88]",0.55,0.226,0.17,0.88,1592,570,1.00,0.0058,0.0032
"omega[3, 89]",0.39,0.202,0.1,0.73,1357,834,1.00,0.0054,0.0031
"omega[3, 90]",0.638,0.203,0.27,0.92,2197,880,1.00,0.0047,0.0028
"omega[3, 91]",0.699,0.162,0.41,0.93,2540,614,1.00,0.0034,0.0024
"omega[3, 92]",0.376,0.149,0.17,0.64,1818,746,1.00,0.0036,0.0027
"omega[3, 93]",0.378,0.131,0.2,0.6,1795,609,1.00,0.0036,0.0032
"omega[3, 94]",0.261,0.044,0.2,0.34,1658,827,1.00,0.0011,0.00085
"omega[3, 95]",0.364,0.061,0.27,0.46,2093,726,1.00,0.0013,0.00086
"omega[3, 96]",0.36,0.224,0.061,0.75,1072,834,1.00,0.0069,0.0036
"omega[3, 97]",0.318,0.166,0.077,0.61,1494,531,1.01,0.0042,0.0028
"omega[3, 98]",0.58,0.13,0.38,0.8,1805,442,1.00,0.0031,0.0023
"omega[3, 99]",0.318,0.092,0.18,0.47,2474,756,1.00,0.0018,0.0013
"omega[3, 100]",0.6,0.107,0.43,0.78,1666,805,1.00,0.0026,0.0018
"omega[3, 101]",0.44,0.226,0.16,0.83,1041,989,1.00,0.0072,0.0037
"omega[3, 102]",0.474,0.168,0.21,0.74,1329,788,1.01,0.0046,0.0027
"omega[3, 103]",0.29,0.146,0.073,0.53,1202,529,1.00,0.004,0.0028
"omega[3, 104]",0.256,0.113,0.09,0.44,1461,825,1.00,0.0029,0.0019
"omega[3, 105]",0.261,0.132,0.072,0.49,1547,841,1.00,0.0032,0.0021
"omega[3, 106]",0.201,0.139,0.042,0.46,1411,879,1.00,0.0041,0.0043
"omega[3, 107]",0.89,0.074,0.76,0.98,1734,815,1.00,0.0019,0.0021
"omega[3, 108]",0.367,0.109,0.22,0.56,1754,773,1.00,0.0027,0.0022
"omega[3, 109]",0.0313,0.0205,0.0072,0.069,1706,619,1.01,0.00043,0.00043
"omega[3, 110]",0.174,0.092,0.047,0.34,1108,451,1.00,0.0025,0.0019
"omega[3, 111]",0.378,0.107,0.23,0.57,1720,796,1.00,0.0027,0.002
"omega[3, 112]",0.19,0.14,0.05,0.47,816,601,1.00,0.0056,0.0062
"omega[3, 113]",0.3,0.174,0.076,0.62,1237,874,1.00,0.0054,0.0041
"omega[3, 114]",0.472,0.184,0.18,0.77,1865,720,1.00,0.0042,0.0026
"omega[3, 115]",0.555,0.143,0.34,0.8,1110,694,1.00,0.0043,0.0027
"omega[3, 116]",0.245,0.104,0.096,0.43,1318,685,1.01,0.0028,0.0022
"omega[3, 117]",0.27,0.17,0.098,0.68,735,312,1.00,0.009,0.011
"omega[3, 118]",0.243,0.109,0.076,0.44,1924,652,1.00,0.0023,0.0017
"omega[3, 119]",0.19,0.13,0.048,0.38,1360,821,1.00,0.0043,0.0074
"omega[3, 120]",0.4,0.191,0.11,0.72,1165,762,1.01,0.0057,0.0035
"omega[3, 121]",0.748,0.145,0.48,0.94,2102,650,1.00,0.0033,0.0024
"omega[3, 122]",0.546,0.217,0.19,0.88,2686,728,1.00,0.0043,0.0024
"omega[3, 123]",0.291,0.103,0.15,0.48,1026,559,1.00,0.0032,0.0028
"omega[3, 124]",0.44,0.236,0.13,0.86,1317,833,1.00,0.0068,0.0036
"omega[3, 125]",0.34,0.207,0.063,0.72,1464,702,1.00,0.0052,0.0033
"omega[3, 126]",0.74,0.15,0.44,0.92,676,548,1.00,0.0064,0.0058
"omega[3, 127]",0.601,0.141,0.4,0.85,1198,694,1.00,0.0042,0.0026
"omega[3, 128]",0.391,0.13,0.21,0.61,1375,733,1.00,0.0037,0.003
